問題,答え,読み,最終確認日
毛沢東の4番目の妻で、文化大革命を主導し「紅色女皇」とも呼ばれた人物は誰でしょう？,江青,こうせい,2020/06/07
目的地に着いてすぐ引き返すことを、飛びながら急に方向転換をする習性を持つある昆虫の名前を使って何というでしょう？,とんぼ返り,とんぼがえり,2020/06/07
野菜の切り方で、半月切りの野菜をさらに半分に切ることを、ある植物にたとえて何切りというでしょう？,いちょう切り,いちょう,2020/06/07
約57.3度を1とし、日本語では「弧度」とも呼ばれる、円周上の弧の長さを半径の長さで割ることで求められる角度の単位は何でしょう？,ラジアン,ラジアン,2020/06/07
幼名を金太郎といい、源頼光に仕えて活躍し金太郎伝説のモデルとなった、平安時代に実在したとされる武士は誰でしょう？,坂田金時,さかたのきんとき,2020/06/07
様々な種類の花が咲き乱れていることを、「乱」という字を使った四字熟語で何というでしょう？,百花繚乱,ひゃっかりょうらん,2020/06/07
落語家が使う符牒の「ダルマ」とは、何のことでしょう？,羽織,はおり,2020/06/07
旅館やホテルに食事無しで宿泊することを、食事付きで宿泊する「本泊まり」に対して何というでしょう？,素泊まり,すどまり,2020/06/07
緑内障はここから房水が排出されないことで起こる、眼の角膜の周囲を取り囲む輪状の管のことを、19世紀に活動したドイツの解剖学者の名をとって何管というでしょう？,シュレム管,シュレム,2020/06/07
冷蔵庫や洗濯機、炊飯器などの生活家電のことを、それらの製品によく用いられてきた色の名前を使って俗に何家電というでしょう？,白物家電,しろもの,2020/06/07
和菓子や生鮮食品などの包装に使われる、杉や檜などの木材を紙のように薄く削ったものを何というでしょう？,経木,きょうぎ,2020/06/07
和名を「オウゴンカズラ」といい、室内で鉢植えにされていることが多い、おおむねハート形の葉をつけるサトイモ科の観葉植物を何と呼ぶでしょう？,ポトス,ポトス,2020/06/07
和名を「クダモノトケイソウ」という果物のことを、トケイソウ科の植物の花が十字架にかけられたキリストの受難を思わせる形状であることに由来する英語名で何というでしょう？,パッションフルーツ,パッションフルーツ,2020/06/07
和名を「チョウセンアザミ」という、つぼみから総苞を除いたものや、もやし状に育てた葉柄を食用とするキク科の植物は何でしょう？,アーティチョーク,アーティチョーク,2020/06/07
和名を「黄玉」という、11月の誕生石の1つは何でしょう？,トパーズ,トパーズ,2020/06/07
腕に力を入れて曲げた時にできる「力こぶ」とは、主に何という筋肉の収縮によってできるものでしょう？,上腕二頭筋,じょうわんにとうきん,2020/06/07
彗星の「百武彗星」に名を残すアマチュア天文家は誰でしょう？,百武裕司,ひゃくたけゆうじ,2020/06/07
薔薇は本数によって花言葉の意味が変わりますが、「密かな愛」を意味する本数は何本でしょう？,7本,7,2020/06/07
餡や求肥などを使った水分の多い和菓子のことを、水気の少ない「干菓子」に対して何というでしょう？,生菓子,なまがし,2020/06/07
1977年に福田赳夫によって創設された、広く国民に敬愛され、社会に明るい希望を与えた者や団体を内閣総理大臣が表彰する賞は何賞でしょう？,国民栄誉賞,こくみんえいよ,2020/06/06
1978年に王貞治に次ぐ2人目の国民栄誉賞受賞者となった、『丘を越えて』『湯の町エレジー』『悲しい酒』など数々の昭和歌謡のヒット作を手掛けた作曲家は誰でしょう？,古賀政男,こがまさお,2020/06/06
2010年には多部未華子主演により映画化されている、見た目の暗い女子高生・黒沼爽子が仲間との友情や恋愛を通じて成長していく姿を描いた、椎名軽穂の漫画は何でしょう？,『君に届け』,きみにとどけ,2020/06/06
2016年にシングル『生きていたんだよな』でメジャーデビューした、『君はロックを聴かない』『マリーゴールド』などの代表曲がある女性アーティストは誰でしょう？,あいみょん,あいみょん,2020/06/06
アメリカ・メジャーリーグで、1998年に日本人として初のホームランを打った他、2度のノーヒットノーランや2度の年間最多奪三振も記録した、日本人メジャーリーガーの草分け的存在である元野球選手は誰でしょう？,野茂英雄,のもひでお,2020/06/06
アメリカの二大政党の1つ「民主党」のシンボルマークとなっている動物は何でしょう？,ろば,ろば,2020/06/06
オリンピック競技のビーチバレーは1チーム何人で行う球技でしょう？,2人,2,2020/06/06
ドイツ語で「妥協」という意味がある、1867年に普墺戦争で敗れたオーストリアがハンガリーの分離独立を認め、二重帝国が生まれたことを指す言葉は何でしょう？,アウスグライヒ,アウスグライヒ,2020/06/06
ベースの近藤洋一、ドラムの木内泰史、ボーカル・ギターの山口隆の3人からなる、『できっこないをやらなくちゃ』『青春狂騒曲』『世界はそれを愛と呼ぶんだぜ』などのヒット曲で知られるバンドは何でしょう？,サンボマスター,サンボマスター,2020/06/06
マシンガン、ヒンズー、リフルなどの種類がある、カードゲームやマジックなどでカードを混ぜ合わせる行為を何というでしょう？,シャッフル,シャッフル,2020/06/06
慣用句で、残暑も余寒もある時期まで来ると和らぐということを「暑さ寒さも何まで」というでしょう？,暑さ寒さも彼岸まで,ひがん,2020/06/06
気象庁の用語において、1日の最低気温が摂氏0度未満の日のことを何というでしょう？,冬日,ふゆび,2020/06/06
作家・柳美里の小説デビュー作で、登場人物のモデルとされる女性がプライバシー権の侵害などを理由に訴えを起こし、その出版差し止めを命じた最高裁判決が表現の自由を巡る重要判例の1つとされているのは何でしょう？,『石に泳ぐ魚』,いしにおよぐさかな,2020/06/06
山号を浮岳山という東京都調布市にある天台宗の寺で、名物であるそばの名前にもなっているのは何でしょう？,深大寺,じんだいじ,2020/06/06
代名詞である「俺についてこい」「なせば成る」などの言葉は当時の流行語にもなった、1964年の東京オリンピックでバレーボール全日本女子チームを率い金メダルに導いた指導者は誰でしょう？,大松博文,だいまつひろふみ,2020/06/06
